mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.05542715390523275,0.00021248516283530624,0.004652261734008789,2.8164356239692198e-05,100,1,1.0,2,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': 2}",0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.18144368465060579,14
0.055213212966918945,0.00024672195378079066,0.004679441452026367,5.831077038230666e-05,100,2,sqrt,5,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",0.08333333333333333,0.2222222222222222,0.4444444444444444,0.25,0.14872572596489825,8
0.1656501293182373,0.0024855779240065593,0.011057138442993164,7.58008619612142e-05,300,2,1.0,5,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 2, 'clf__max_features': 1.0, 'clf__max_depth': 5}",0.1111111111111111,0.2222222222222222,0.4444444444444444,0.25925925925925924,0.13857990321384966,3
0.16544445355733237,0.00010298290521632548,0.011083841323852539,0.00010257671324634836,300,1,sqrt,3,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 3}",0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.18144368465060579,14
0.0554350217183431,0.00012731363610226506,0.00464479128519694,2.6086474404562177e-05,100,2,sqrt,3,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 3}",0.08333333333333333,0.2222222222222222,0.43333333333333335,0.24629629629629632,0.1438973494819438,11
0.05533250172932943,0.00010362651432580562,0.004698991775512695,2.7558410178981095e-05,100,3,1.0,5,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 3, 'clf__max_features': 1.0, 'clf__max_depth': 5}",0.0,0.3333333333333333,0.35555555555555557,0.22962962962962963,0.1626259140748159,12
0.05607477823893229,0.00033446205643771864,0.0046613216400146484,5.6254997204083814e-05,100,1,1.0,3,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': 3}",0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.18144368465060579,14
0.16143504778544107,0.002880339694679749,0.01071770985921224,8.187733556143063e-05,300,1,1.0,5,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': 5}",0.1111111111111111,0.2222222222222222,0.4444444444444444,0.25925925925925924,0.13857990321384966,3
0.053834120432535805,0.000112304571242088,0.004545052846272786,3.539336097508643e-05,100,3,1.0,3,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 3, 'clf__max_features': 1.0, 'clf__max_depth': 3}",0.0,0.3333333333333333,0.35555555555555557,0.22962962962962963,0.1626259140748159,12
0.15818206469217935,0.0003261644201045303,0.01070872942606608,9.18866427361972e-05,300,3,sqrt,2,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__max_depth': 2}",0.14814814814814814,0.16666666666666666,0.43333333333333335,0.2493827160493827,0.13029225119294965,10
