mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0012602806091308594,5.524558571584772e-05,0.0017180442810058594,3.669839472324147e-05,1,1,uniform,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.22857142857142856,0.26666666666666666,0.5666666666666668,0.35396825396825404,0.15120245338552207,3
0.0011872450510660808,1.7364046921975984e-05,0.0014256636301676433,4.270880649103928e-06,1,1,distance,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'distance'}",0.22857142857142856,0.26666666666666666,0.5666666666666668,0.35396825396825404,0.15120245338552207,3
0.0012056032816569011,8.188404637903378e-06,0.0016805330912272136,2.15100015291785e-05,1,2,uniform,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.22857142857142856,0.2222222222222222,0.2619047619047619,0.23756613756613754,0.017404110268146603,13
0.00119781494140625,1.6758412358721975e-05,0.0014171600341796875,1.0646397381671003e-05,1,2,distance,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'distance'}",0.22857142857142856,0.2222222222222222,0.2619047619047619,0.23756613756613754,0.017404110268146603,13
0.001165469487508138,3.952926036658569e-06,0.0016865730285644531,1.144905777315423e-05,3,1,uniform,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.43333333333333335,0.24444444444444446,0.4444444444444444,0.37407407407407406,0.09177416069158419,1
0.001176595687866211,4.1019083342755445e-06,0.0014227231343587239,6.976431639148313e-06,3,1,distance,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.3333333333333333,0.2619047619047619,0.4444444444444444,0.3465608465608465,0.07510618818295443,5
0.0011758009592692058,6.608205320354272e-06,0.0016596317291259766,1.3220233174596343e-05,3,2,uniform,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.3333333333333333,0.35714285714285715,0.37777777777777777,0.35608465608465606,0.01815979079548203,2
0.0011813640594482422,1.3705785330607055e-05,0.0014528433481852214,2.3892930747057088e-05,3,2,distance,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.3333333333333333,0.35555555555555557,0.2619047619047619,0.3169312169312169,0.03995322143630235,6
0.0011618932088216145,3.7764245257430786e-06,0.0016852219899495442,3.372553257790086e-05,5,1,uniform,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.14814814814814814,0.08333333333333333,0.3333333333333333,0.18827160493827158,0.10593211297364515,15
0.0011819203694661458,1.734767106328615e-05,0.0014258225758870442,9.283709111332759e-06,5,1,distance,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.14814814814814814,0.08333333333333333,0.3333333333333333,0.18827160493827158,0.10593211297364515,15
0.0011749267578125,1.710089010059331e-05,0.001657565434773763,2.3224575036688578e-06,5,2,uniform,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.14814814814814814,0.24444444444444446,0.4444444444444444,0.27901234567901234,0.1234073975269116,9
0.0011775493621826172,1.8208479189894093e-05,0.0014118353525797527,1.275087486460317e-05,5,2,distance,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.22857142857142856,0.13333333333333333,0.45714285714285713,0.273015873015873,0.13587894958115998,10
0.0011017322540283203,5.408827313478328e-06,0.0012763341267903645,3.5208719238100086e-05,7,1,uniform,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",0.14814814814814814,0.5666666666666668,0.14814814814814814,0.28765432098765437,0.19729152166439481,7
0.0013257662455240886,0.00016125115694773433,0.008277018864949545,0.00037403411516543326,7,1,distance,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}",0.14814814814814814,0.4444444444444444,0.2619047619047619,0.2848324514991181,0.12204407130848817,8
0.0012726783752441406,5.515496622578583e-05,0.007296959559122722,0.0015757205685000086,7,2,uniform,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}",0.14814814814814814,0.4666666666666666,0.14814814814814814,0.25432098765432093,0.15015106958529156,12
0.002323309580485026,0.0013158802159353293,0.01027822494506836,0.001969396316674168,7,2,distance,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'}",0.14814814814814814,0.3,0.3333333333333333,0.2604938271604938,0.08059752466147883,11
