seed,model,version,fold,best_params,best_inner_score,train_accuracy,train_f1_macro,train_time_s,prediction_time_s,warnings,metrics
43,xgboost,untuned,1,{},,1.0,1.0,0.015011200000117242,0.0012361999997665407,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.16666666666666666, 'precision_macro': 0.1111111111111111, 'recall_macro': 0.16666666666666666, 'f1_macro': 0.13333333333333333, 'precision_weighted': 0.1111111111111111, 'recall_weighted': 0.16666666666666666, 'f1_weighted': 0.13333333333333333, 'per_class_precision': [0.0, 0.3333333333333333, 0.0], 'per_class_recall': [0.0, 0.5, 0.0], 'per_class_f1': [0.0, 0.4, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.625, 0.625, 0.0], 'roc_auc_macro': 0.4166666666666667, 'ap_ovr': [0.5, 0.5, 0.26666666666666666], 'mAP': 0.4222222222222222, 'pr_auc_ovr': [0.3333333333333333, 0.3333333333333333, 0.18333333333333335], 'pr_auc_macro': 0.2833333333333333, 'confusion_matrix': [[0, 1, 1], [0, 1, 1], [1, 1, 0]]}"
43,xgboost,untuned,2,{},,1.0,1.0,0.015137400000185153,0.0012120000001232256,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.4, 'precision_macro': 0.4444444444444444, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.35555555555555557, 'precision_weighted': 0.5333333333333333, 'recall_weighted': 0.4, 'f1_weighted': 0.42666666666666664, 'per_class_precision': [0.0, 1.0, 0.3333333333333333], 'per_class_recall': [0.0, 0.5, 0.5], 'per_class_f1': [0.0, 0.6666666666666666, 0.4], 'support': [1, 2, 2], 'roc_auc_ovr': [0.25, 0.8333333333333334, 0.5], 'roc_auc_macro': 0.5277777777777778, 'ap_ovr': [0.25, 0.8333333333333333, 0.5], 'mAP': 0.5277777777777778, 'pr_auc_ovr': [0.125, 0.7916666666666666, 0.3333333333333333], 'pr_auc_macro': 0.4166666666666667, 'confusion_matrix': [[0, 0, 1], [0, 1, 1], [1, 0, 1]]}"
43,xgboost,untuned,3,{},,1.0,1.0,0.015116699999907723,0.001393000000007305,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.2, 'precision_macro': 0.08333333333333333, 'recall_macro': 0.16666666666666666, 'f1_macro': 0.1111111111111111, 'precision_weighted': 0.1, 'recall_weighted': 0.2, 'f1_weighted': 0.13333333333333333, 'per_class_precision': [0.0, 0.0, 0.25], 'per_class_recall': [0.0, 0.0, 0.5], 'per_class_f1': [0.0, 0.0, 0.3333333333333333], 'support': [2, 1, 2], 'roc_auc_ovr': [1.0, 0.5, 0.0], 'roc_auc_macro': 0.5, 'ap_ovr': [1.0, 0.3333333333333333, 0.325], 'mAP': 0.5527777777777777, 'pr_auc_ovr': [1.0, 0.16666666666666666, 0.225], 'pr_auc_macro': 0.46388888888888896, 'confusion_matrix': [[0, 0, 2], [0, 0, 1], [0, 1, 1]]}"
43,xgboost,untuned,4,{},,1.0,1.0,0.015592299999752868,0.0014633999999205116,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.6, 'precision_macro': 0.7777777777777778, 'recall_macro': 0.6666666666666666, 'f1_macro': 0.611111111111111, 'precision_weighted': 0.8666666666666666, 'recall_weighted': 0.6, 'f1_weighted': 0.6333333333333333, 'per_class_precision': [1.0, 1.0, 0.3333333333333333], 'per_class_recall': [0.5, 0.5, 1.0], 'per_class_f1': [0.6666666666666666, 0.6666666666666666, 0.5], 'support': [2, 2, 1], 'roc_auc_ovr': [1.0, 1.0, 0.5], 'roc_auc_macro': 0.8333333333333334, 'ap_ovr': [1.0, 1.0, 0.3333333333333333], 'mAP': 0.7777777777777778, 'pr_auc_ovr': [1.0, 1.0, 0.16666666666666666], 'pr_auc_macro': 0.7222222222222222, 'confusion_matrix': [[1, 0, 1], [0, 1, 1], [0, 0, 1]]}"
43,xgboost,tuned,0,"{'subsample': 0.8, 'reg_lambda': 1.0, 'n_estimators': 100, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.29259259259259257,1.0,1.0,1.2035292000000481,0.0013441999999486143,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.6666666666666666, 'precision_macro': 0.5, 'recall_macro': 0.6666666666666666, 'f1_macro': 0.5555555555555555, 'precision_weighted': 0.5, 'recall_weighted': 0.6666666666666666, 'f1_weighted': 0.5555555555555555, 'per_class_precision': [0.5, 1.0, 0.0], 'per_class_recall': [1.0, 1.0, 0.0], 'per_class_f1': [0.6666666666666666, 1.0, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.5, 1.0, 0.125], 'roc_auc_macro': 0.5416666666666666, 'ap_ovr': [0.41666666666666663, 1.0, 0.29166666666666663], 'mAP': 0.5694444444444443, 'pr_auc_ovr': [0.29166666666666663, 1.0, 0.19583333333333333], 'pr_auc_macro': 0.4958333333333333, 'confusion_matrix': [[2, 0, 0], [0, 2, 0], [2, 0, 0]]}"
43,xgboost,tuned,1,"{'subsample': 1.0, 'reg_lambda': 1.0, 'n_estimators': 200, 'max_depth': 1, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.5296296296296297,0.9523809523809523,0.9521367521367522,1.2039163999997982,0.0014651999999841792,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.3333333333333333, 'precision_macro': 0.2222222222222222, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.26666666666666666, 'precision_weighted': 0.2222222222222222, 'recall_weighted': 0.3333333333333333, 'f1_weighted': 0.26666666666666666, 'per_class_precision': [0.0, 0.6666666666666666, 0.0], 'per_class_recall': [0.0, 1.0, 0.0], 'per_class_f1': [0.0, 0.8, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.75, 0.75, 0.0], 'roc_auc_macro': 0.5, 'ap_ovr': [0.5833333333333333, 0.5833333333333333, 0.26666666666666666], 'mAP': 0.4777777777777777, 'pr_auc_ovr': [0.41666666666666663, 0.41666666666666663, 0.18333333333333335], 'pr_auc_macro': 0.33888888888888885, 'confusion_matrix': [[0, 0, 2], [0, 2, 0], [1, 1, 0]]}"
43,xgboost,tuned,2,"{'subsample': 0.8, 'reg_lambda': 10.0, 'n_estimators': 100, 'max_depth': 1, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.373015873015873,0.8636363636363636,0.8633986928104576,1.2063296000001174,0.001245800000106101,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.4, 'precision_macro': 0.27777777777777773, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.3, 'precision_weighted': 0.3333333333333333, 'recall_weighted': 0.4, 'f1_weighted': 0.36, 'per_class_precision': [0.0, 0.5, 0.3333333333333333], 'per_class_recall': [0.0, 0.5, 0.5], 'per_class_f1': [0.0, 0.5, 0.4], 'support': [1, 2, 2], 'roc_auc_ovr': [1.0, 0.8333333333333334, 0.5], 'roc_auc_macro': 0.7777777777777778, 'ap_ovr': [1.0, 0.8333333333333333, 0.5], 'mAP': 0.7777777777777777, 'pr_auc_ovr': [1.0, 0.7916666666666666, 0.3333333333333333], 'pr_auc_macro': 0.7083333333333334, 'confusion_matrix': [[0, 0, 1], [0, 1, 1], [0, 1, 1]]}"
43,xgboost,tuned,3,"{'subsample': 1.0, 'reg_lambda': 10.0, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.3394179894179894,1.0,1.0,1.2305249000000913,0.0016014000002542161,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.0, 'precision_macro': 0.0, 'recall_macro': 0.0, 'f1_macro': 0.0, 'precision_weighted': 0.0, 'recall_weighted': 0.0, 'f1_weighted': 0.0, 'per_class_precision': [0.0, 0.0, 0.0], 'per_class_recall': [0.0, 0.0, 0.0], 'per_class_f1': [0.0, 0.0, 0.0], 'support': [2, 1, 2], 'roc_auc_ovr': [0.16666666666666669, 0.25, 0.0], 'roc_auc_macro': 0.1388888888888889, 'ap_ovr': [0.3666666666666667, 0.25, 0.325], 'mAP': 0.3138888888888889, 'pr_auc_ovr': [0.24583333333333335, 0.125, 0.225], 'pr_auc_macro': 0.1986111111111111, 'confusion_matrix': [[0, 0, 2], [0, 0, 1], [2, 0, 0]]}"
43,xgboost,tuned,4,"{'subsample': 0.8, 'reg_lambda': 1.0, 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.38148148148148153,1.0,1.0,1.2330966999998054,0.0016441000002487272,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.6, 'precision_macro': 0.5555555555555555, 'recall_macro': 0.5, 'f1_macro': 0.48888888888888893, 'precision_weighted': 0.6666666666666666, 'recall_weighted': 0.6, 'f1_weighted': 0.5866666666666667, 'per_class_precision': [1.0, 0.6666666666666666, 0.0], 'per_class_recall': [0.5, 1.0, 0.0], 'per_class_f1': [0.6666666666666666, 0.8, 0.0], 'support': [2, 2, 1], 'roc_auc_ovr': [1.0, 0.8333333333333334, 0.25], 'roc_auc_macro': 0.6944444444444445, 'ap_ovr': [1.0, 0.8333333333333333, 0.25], 'mAP': 0.6944444444444443, 'pr_auc_ovr': [1.0, 0.7916666666666666, 0.125], 'pr_auc_macro': 0.6388888888888888, 'confusion_matrix': [[1, 0, 1], [0, 2, 0], [0, 1, 0]]}"
43,dummy,untrained,0,{},,0.3333333333333333,0.16666666666666666,0.0001295000001846347,5.000000010113581e-05,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.3333333333333333, 'precision_macro': 0.1111111111111111, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.16666666666666666, 'precision_weighted': 0.1111111111111111, 'recall_weighted': 0.3333333333333333, 'f1_weighted': 0.16666666666666666, 'per_class_precision': [0.3333333333333333, 0.0, 0.0], 'per_class_recall': [1.0, 0.0, 0.0], 'per_class_f1': [0.5, 0.0, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.5, 0.5, 0.5], 'roc_auc_macro': 0.5, 'ap_ovr': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'mAP': 0.3333333333333333, 'pr_auc_ovr': [0.6666666666666666, 0.6666666666666666, 0.6666666666666666], 'pr_auc_macro': 0.6666666666666666, 'confusion_matrix': [[2, 0, 0], [2, 0, 0], [2, 0, 0]]}"
43,dummy,untrained,1,{},,0.3333333333333333,0.16666666666666666,0.00010459999975864775,4.2300000131945126e-05,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.3333333333333333, 'precision_macro': 0.1111111111111111, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.16666666666666666, 'precision_weighted': 0.1111111111111111, 'recall_weighted': 0.3333333333333333, 'f1_weighted': 0.16666666666666666, 'per_class_precision': [0.3333333333333333, 0.0, 0.0], 'per_class_recall': [1.0, 0.0, 0.0], 'per_class_f1': [0.5, 0.0, 0.0], 'support': [2, 2, 2], 'roc_auc_ovr': [0.5, 0.5, 0.5], 'roc_auc_macro': 0.5, 'ap_ovr': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'mAP': 0.3333333333333333, 'pr_auc_ovr': [0.6666666666666666, 0.6666666666666666, 0.6666666666666666], 'pr_auc_macro': 0.6666666666666666, 'confusion_matrix': [[2, 0, 0], [2, 0, 0], [2, 0, 0]]}"
43,dummy,untrained,2,{},,0.36363636363636365,0.17777777777777778,0.00010860000020329608,4.34999997196428e-05,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.2, 'precision_macro': 0.06666666666666667, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.1111111111111111, 'precision_weighted': 0.04, 'recall_weighted': 0.2, 'f1_weighted': 0.06666666666666667, 'per_class_precision': [0.2, 0.0, 0.0], 'per_class_recall': [1.0, 0.0, 0.0], 'per_class_f1': [0.3333333333333333, 0.0, 0.0], 'support': [1, 2, 2], 'roc_auc_ovr': [0.5, 0.5, 0.5], 'roc_auc_macro': 0.5, 'ap_ovr': [0.2, 0.4, 0.4], 'mAP': 0.3333333333333333, 'pr_auc_ovr': [0.6, 0.7, 0.7], 'pr_auc_macro': 0.6666666666666666, 'confusion_matrix': [[1, 0, 0], [2, 0, 0], [2, 0, 0]]}"
43,dummy,untrained,3,{},,0.36363636363636365,0.17777777777777778,0.00010340000017095008,4.2300000131945126e-05,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.2, 'precision_macro': 0.06666666666666667, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.1111111111111111, 'precision_weighted': 0.04, 'recall_weighted': 0.2, 'f1_weighted': 0.06666666666666667, 'per_class_precision': [0.0, 0.2, 0.0], 'per_class_recall': [0.0, 1.0, 0.0], 'per_class_f1': [0.0, 0.3333333333333333, 0.0], 'support': [2, 1, 2], 'roc_auc_ovr': [0.5, 0.5, 0.5], 'roc_auc_macro': 0.5, 'ap_ovr': [0.4, 0.2, 0.4], 'mAP': 0.3333333333333333, 'pr_auc_ovr': [0.7, 0.6, 0.7], 'pr_auc_macro': 0.6666666666666666, 'confusion_matrix': [[0, 2, 0], [0, 1, 0], [0, 2, 0]]}"
43,dummy,untrained,4,{},,0.36363636363636365,0.17777777777777778,0.00010930000007647322,4.439999975147657e-05,"{'n_warnings': 0, 'unique': {}}","{'accuracy': 0.2, 'precision_macro': 0.06666666666666667, 'recall_macro': 0.3333333333333333, 'f1_macro': 0.1111111111111111, 'precision_weighted': 0.04, 'recall_weighted': 0.2, 'f1_weighted': 0.06666666666666667, 'per_class_precision': [0.0, 0.0, 0.2], 'per_class_recall': [0.0, 0.0, 1.0], 'per_class_f1': [0.0, 0.0, 0.3333333333333333], 'support': [2, 2, 1], 'roc_auc_ovr': [0.5, 0.5, 0.5], 'roc_auc_macro': 0.5, 'ap_ovr': [0.4, 0.4, 0.2], 'mAP': 0.3333333333333333, 'pr_auc_ovr': [0.7, 0.7, 0.6], 'pr_auc_macro': 0.6666666666666666, 'confusion_matrix': [[0, 0, 2], [0, 0, 2], [0, 0, 1]]}"
