mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0014824867248535156,7.192684570431566e-05,0.001791079839070638,2.3022177771206438e-05,1,1,uniform,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.2619047619047619,0.38888888888888884,0.5555555555555555,0.40211640211640204,0.12024675319961384,2
0.0012696584065755208,5.508048278029073e-05,0.001476605733235677,8.693473606284127e-06,1,1,distance,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'distance'}",0.2619047619047619,0.38888888888888884,0.5555555555555555,0.40211640211640204,0.12024675319961384,2
0.0012808640797932942,5.3127354084176064e-05,0.0017453829447428386,2.3884999132466537e-05,1,2,uniform,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.25,0.24444444444444446,0.35555555555555557,0.2833333333333334,0.05111916200682319,15
0.0013657410939534504,0.00016699621248847661,0.0014855066935221355,6.633960963792549e-06,1,2,distance,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'distance'}",0.25,0.24444444444444446,0.35555555555555557,0.2833333333333334,0.05111916200682319,15
0.0012559890747070312,1.5075144729172932e-05,0.00174713134765625,3.4604932557864573e-06,3,1,uniform,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.41269841269841273,0.3238095238095238,0.5523809523809523,0.4296296296296296,0.09407877574981105,1
0.0012524922688802083,9.734046604857508e-06,0.0015032291412353516,2.7910931687800872e-05,3,1,distance,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.3148148148148148,0.35555555555555557,0.4444444444444444,0.3716049382716049,0.05412422275748881,6
0.0012776851654052734,4.316232396134529e-05,0.0017736752827962239,1.3649449193429483e-05,3,2,uniform,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5079365079365079,0.3333333333333333,0.3238095238095238,0.3883597883597883,0.08464285610929616,5
0.0012370745340983074,1.949921313347069e-06,0.001508156458536784,1.920844386956101e-05,3,2,distance,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.41269841269841273,0.45714285714285713,0.3238095238095238,0.3978835978835979,0.055431961285539864,4
0.001233816146850586,8.20612597659642e-06,0.0017576217651367188,1.7678379928509357e-05,5,1,uniform,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.30158730158730157,0.35714285714285715,0.3238095238095238,0.32751322751322753,0.02283116297395918,10
0.0012391408284505208,2.3730601229606385e-05,0.0014691352844238281,9.847582067519847e-06,5,1,distance,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.3148148148148148,0.35555555555555557,0.3238095238095238,0.33139329805996476,0.01747545350746395,9
0.0012197494506835938,4.022614394774044e-06,0.0017133553822835286,5.8540811095882715e-06,5,2,uniform,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.30158730158730157,0.35714285714285715,0.3238095238095238,0.32751322751322753,0.02283116297395918,10
0.0012244383494059246,2.0611221429696088e-05,0.0014642079671223958,1.8087715588793823e-06,5,2,distance,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.3,0.35714285714285715,0.3238095238095238,0.326984126984127,0.023436227079735562,13
0.0011870066324869792,3.2025294543065955e-05,0.0013477802276611328,6.214360941050636e-05,7,1,uniform,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3,0.35714285714285715,0.3238095238095238,0.326984126984127,0.023436227079735562,13
0.0017185211181640625,0.0004344267841278122,0.009520530700683594,0.0010607110664534534,7,1,distance,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}",0.3148148148148148,0.35714285714285715,0.3238095238095238,0.3319223985890653,0.018207687840076883,7
0.0013440450032552083,4.79600107200485e-05,0.006902297337849935,0.0010318531772649223,7,2,uniform,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}",0.30158730158730157,0.35714285714285715,0.3238095238095238,0.32751322751322753,0.02283116297395918,10
0.0013249715169270833,7.606769166850914e-05,0.010023991266886393,0.001711035073701379,7,2,distance,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'}",0.3148148148148148,0.35714285714285715,0.3238095238095238,0.3319223985890653,0.018207687840076883,7
