mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__kernel,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0014772415161132812,5.3784751384003755e-05,0.0012601216634114583,3.919083833614548e-05,0.1,linear,,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.48888888888888893,0.48888888888888893,0.3,0.425925925925926,0.08904307614941713,5
0.001425027847290039,1.2429819486367297e-05,0.001240094502766927,3.3441174604457615e-05,1.0,linear,,"{'clf__C': 1.0, 'clf__kernel': 'linear'}",0.5666666666666668,0.38888888888888884,0.26666666666666666,0.40740740740740744,0.12317251220974738,8
0.0014276504516601562,1.7099782063523394e-05,0.001204093297322591,1.766372582983404e-06,10.0,linear,,"{'clf__C': 10.0, 'clf__kernel': 'linear'}",0.5666666666666668,0.38888888888888884,0.26666666666666666,0.40740740740740744,0.12317251220974738,8
0.001440604527791341,2.5232101044342457e-05,0.0012315909067789714,1.7508576240828626e-05,100.0,linear,,"{'clf__C': 100.0, 'clf__kernel': 'linear'}",0.5666666666666668,0.38888888888888884,0.26666666666666666,0.40740740740740744,0.12317251220974738,8
0.0014145374298095703,4.2959473138617135e-06,0.0012323856353759766,1.6929398037029965e-05,0.1,rbf,scale,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.35555555555555557,0.35555555555555557,0.1111111111111111,0.2740740740740741,0.11523221619336332,14
0.0013928413391113281,9.785816929320442e-06,0.0012287298838297527,2.5392293795612804e-05,0.1,rbf,0.001,"{'clf__C': 0.1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.35714285714285715,0.19047619047619047,0.1111111111111111,0.21957671957671962,0.10252816071468837,16
0.0013955434163411458,6.4279739869089735e-06,0.0013028780619303386,0.00012496141220507117,0.1,rbf,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.35714285714285715,0.19047619047619047,0.1111111111111111,0.21957671957671962,0.10252816071468837,16
0.0014010270436604817,1.662939917202068e-05,0.0012164115905761719,6.6330088344781665e-06,0.1,rbf,0.1,"{'clf__C': 0.1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.35555555555555557,0.35555555555555557,0.1111111111111111,0.2740740740740741,0.11523221619336332,14
0.001401662826538086,6.879797969763802e-06,0.001219352086385091,2.272979362181837e-06,1.0,rbf,scale,"{'clf__C': 1.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.35555555555555557,0.5793650793650794,0.3,0.41164021164021164,0.1207485772953175,6
0.0013764699300130208,2.3468054231378876e-06,0.0012110074361165364,5.749574422100678e-06,1.0,rbf,0.001,"{'clf__C': 1.0, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.35714285714285715,0.19047619047619047,0.1111111111111111,0.21957671957671962,0.10252816071468837,16
0.0013769467671712239,3.538104580172231e-06,0.0012156963348388672,5.237978952180252e-06,1.0,rbf,0.01,"{'clf__C': 1.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.35714285714285715,0.19047619047619047,0.1111111111111111,0.21957671957671962,0.10252816071468837,16
0.001386880874633789,3.239920474789859e-06,0.0012113253275553386,2.3548654540426023e-06,1.0,rbf,0.1,"{'clf__C': 1.0, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.35555555555555557,0.5793650793650794,0.3,0.41164021164021164,0.1207485772953175,6
0.0014086564381917317,5.4099948962903044e-06,0.0012442270914713542,1.0259081244853289e-05,10.0,rbf,scale,"{'clf__C': 10.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5793650793650794,0.5793650793650794,0.3,0.4862433862433863,0.13169396136384381,1
0.0013892650604248047,1.1529865953650242e-05,0.0012234052022298176,1.2773145423167192e-05,10.0,rbf,0.001,"{'clf__C': 10.0, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.35714285714285715,0.19047619047619047,0.1111111111111111,0.21957671957671962,0.10252816071468837,16
0.0014495054880777996,2.3794391854479193e-05,0.0012212594350179036,9.073141814239869e-06,10.0,rbf,0.01,"{'clf__C': 10.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.4000000000000001,0.35714285714285715,0.26666666666666666,0.34126984126984133,0.05557822666670351,12
0.001396497090657552,8.999753104459167e-06,0.001222848892211914,1.215233319985834e-05,10.0,rbf,0.1,"{'clf__C': 10.0, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.5793650793650794,0.5793650793650794,0.3,0.4862433862433863,0.13169396136384381,1
0.0014090538024902344,4.63538696652021e-06,0.001215219497680664,7.083346034735741e-06,100.0,rbf,scale,"{'clf__C': 100.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5793650793650794,0.5793650793650794,0.3,0.4862433862433863,0.13169396136384381,1
0.0013931592305501301,4.185738271797083e-06,0.0012154579162597656,2.2450203723630166e-06,100.0,rbf,0.001,"{'clf__C': 100.0, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.4000000000000001,0.35714285714285715,0.26666666666666666,0.34126984126984133,0.05557822666670351,12
