mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__kernel,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0015281836191813152,0.00010062136569564832,0.0012351671854654949,2.434309605798931e-05,0.1,linear,,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.30158730158730157,0.4000000000000001,0.09523809523809523,0.2656084656084656,0.1269929450201075,11
0.001451571782430013,2.4900256006554994e-05,0.001243273417154948,4.043114858444416e-05,1.0,linear,,"{'clf__C': 1.0, 'clf__kernel': 'linear'}",0.31746031746031744,0.5666666666666668,0.43333333333333335,0.43915343915343924,0.1018212693727172,6
0.0014468828837076824,5.4099948962903044e-06,0.0012160936991373699,5.314589658514813e-06,10.0,linear,,"{'clf__C': 10.0, 'clf__kernel': 'linear'}",0.3833333333333333,0.5666666666666668,0.24444444444444446,0.3981481481481482,0.1319631240838509,7
0.0014650821685791016,4.6764494074303634e-05,0.0012284914652506511,1.587747608130003e-05,100.0,linear,,"{'clf__C': 100.0, 'clf__kernel': 'linear'}",0.3833333333333333,0.5666666666666668,0.24444444444444446,0.3981481481481482,0.1319631240838509,7
0.0014696121215820312,1.337837726282218e-05,0.0012174447377522786,8.38278578891389e-06,0.1,rbf,scale,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.21666666666666667,0.37777777777777777,0.14814814814814814,0.24753086419753087,0.09625276002234384,14
0.0014112790425618489,2.507012896673101e-05,0.001217206319173177,2.572736677326513e-05,0.1,rbf,0.001,"{'clf__C': 0.1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.20634920634920637,0.26666666666666666,0.14814814814814814,0.20705467372134037,0.048387553985957746,18
0.0014074643452962239,2.567280907410874e-05,0.0012125174204508464,9.091917448727349e-06,0.1,rbf,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.20634920634920637,0.27777777777777773,0.14814814814814814,0.21075837742504408,0.05301283373964421,16
0.001415252685546875,1.294651669037799e-05,0.0012061595916748047,1.593425882320676e-06,0.1,rbf,0.1,"{'clf__C': 0.1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.21666666666666667,0.37777777777777777,0.14814814814814814,0.24753086419753087,0.09625276002234384,14
0.0014446576436360676,2.6732902831322605e-05,0.0012251536051432292,1.4183178184489209e-05,1.0,rbf,scale,"{'clf__C': 1.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.2222222222222222,0.37777777777777777,0.14814814814814814,0.2493827160493827,0.09569295000037581,12
0.0013780593872070312,7.42805572862493e-06,0.0011977354685465496,5.561964736596009e-06,1.0,rbf,0.001,"{'clf__C': 1.0, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.20634920634920637,0.26666666666666666,0.14814814814814814,0.20705467372134037,0.048387553985957746,18
0.0014130274454752605,2.4513738198299062e-05,0.0012180805206298828,1.129577476476169e-05,1.0,rbf,0.01,"{'clf__C': 1.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.20634920634920637,0.27777777777777773,0.14814814814814814,0.21075837742504408,0.05301283373964421,16
