mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__kernel,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0013960997263590496,2.3331206802948607e-05,0.0012445449829101562,2.332443813064972e-05,1.0,rbf,0.01,"{'clf__C': 1.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.16666666666666666,0.2619047619047619,0.13333333333333333,0.1873015873015873,0.05447937238644609,9
0.0013840198516845703,2.3089293572762927e-05,0.0012120405832926433,1.2343135518085486e-05,1.0,rbf,0.1,"{'clf__C': 1.0, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.16666666666666666,0.35714285714285715,0.13333333333333333,0.21904761904761905,0.09859174700488595,6
0.001417080561319987,7.552849051486156e-06,0.0012145837148030598,2.336691288628444e-05,10.0,rbf,scale,"{'clf__C': 10.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.24444444444444446,0.35714285714285715,0.13333333333333333,0.24497354497354498,0.09137062145456044,1
0.0014665921529134114,5.8216568490443745e-05,0.001233498255411784,5.8573168985647456e-06,10.0,rbf,0.001,"{'clf__C': 10.0, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.16666666666666666,0.2619047619047619,0.13333333333333333,0.1873015873015873,0.05447937238644609,9
0.001424551010131836,2.127409929867193e-05,0.0012328624725341797,2.783071011306341e-05,10.0,rbf,0.01,"{'clf__C': 10.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.19047619047619047,0.35714285714285715,0.13333333333333333,0.22698412698412698,0.09494664399198845,5
0.0013896624247233074,6.368746919520433e-06,0.0011954307556152344,8.17605409597504e-06,10.0,rbf,0.1,"{'clf__C': 10.0, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.24444444444444446,0.35714285714285715,0.13333333333333333,0.24497354497354498,0.09137062145456044,1
0.001411120096842448,9.761260260928001e-06,0.001230001449584961,2.4869545488773314e-05,100.0,rbf,scale,"{'clf__C': 100.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.24444444444444446,0.35714285714285715,0.13333333333333333,0.24497354497354498,0.09137062145456044,1
0.0014049212137858074,2.3925422876078798e-05,0.0012078285217285156,1.3347182276037603e-05,100.0,rbf,0.001,"{'clf__C': 100.0, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.1111111111111111,0.19047619047619047,0.0,0.10052910052910052,0.07812075693245185,20
0.0014276504516601562,3.35603262991892e-05,0.0012126763661702473,1.725018787726386e-05,100.0,rbf,0.01,"{'clf__C': 100.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.24444444444444446,0.35714285714285715,0.0,0.20052910052910056,0.1490730764322049,8
0.0014119148254394531,1.820223449836209e-05,0.0012152989705403645,5.643132679009988e-06,100.0,rbf,0.1,"{'clf__C': 100.0, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.24444444444444446,0.35714285714285715,0.13333333333333333,0.24497354497354498,0.09137062145456044,1
