mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__kernel,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.00152587890625,6.050604468913873e-05,0.0012371540069580078,2.5169444876624084e-05,0.1,linear,,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.16666666666666666,0.19047619047619047,0.13333333333333333,0.16349206349206347,0.023436227079735555,14
0.0014447371164957683,3.1075209274890884e-05,0.0012042522430419922,1.177861781504712e-05,1.0,linear,,"{'clf__C': 1.0, 'clf__kernel': 'linear'}",0.1111111111111111,0.35714285714285715,0.0,0.15608465608465608,0.14923073837217413,15
0.0014119148254394531,6.479840949579718e-06,0.0012001991271972656,5.150429962800233e-07,10.0,linear,,"{'clf__C': 10.0, 'clf__kernel': 'linear'}",0.1111111111111111,0.35714285714285715,0.0,0.15608465608465608,0.14923073837217413,15
0.0014580885569254558,7.307554298194067e-05,0.0011916955312093098,3.601795575976264e-06,100.0,linear,,"{'clf__C': 100.0, 'clf__kernel': 'linear'}",0.0,0.35714285714285715,0.0,0.11904761904761905,0.16835875742536846,19
0.0013856887817382812,7.458603036658011e-06,0.001207907994588216,1.1582879623926207e-05,0.1,rbf,scale,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.16666666666666666,0.13333333333333333,0.13333333333333333,0.14444444444444446,0.01571348402636772,17
0.0013844966888427734,1.5366442722627657e-05,0.001213391621907552,1.6953258024082076e-05,0.1,rbf,0.001,"{'clf__C': 0.1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.16666666666666666,0.2619047619047619,0.13333333333333333,0.1873015873015873,0.05447937238644609,9
0.0013874371846516926,5.2967334438806e-06,0.0012071927388509114,1.1938929213341983e-05,0.1,rbf,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.16666666666666666,0.2619047619047619,0.13333333333333333,0.1873015873015873,0.05447937238644609,9
0.0014162063598632812,2.713157338319073e-05,0.0012254714965820312,1.973648909119427e-05,0.1,rbf,0.1,"{'clf__C': 0.1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.16666666666666666,0.13333333333333333,0.13333333333333333,0.14444444444444446,0.01571348402636772,17
0.0013991991678873699,4.777634418865565e-06,0.0012119611104329426,3.265164468157154e-06,1.0,rbf,scale,"{'clf__C': 1.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.16666666666666666,0.35714285714285715,0.13333333333333333,0.21904761904761905,0.09859174700488595,6
0.0013934771219889324,2.1573331914439647e-05,0.001206795374552409,2.973602125465029e-06,1.0,rbf,0.001,"{'clf__C': 1.0, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.16666666666666666,0.2619047619047619,0.13333333333333333,0.1873015873015873,0.05447937238644609,9
