model,version,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,per_class_precision,per_class_recall,per_class_f1,support,roc_auc_ovr,roc_auc_macro,ap_ovr,mAP,pr_auc_ovr,pr_auc_macro,confusion_matrix,seed
logistic,untuned,0.37037037037037035,0.38611111111111107,0.3703703703703704,0.3773649810801514,0.3861111111111111,0.37037037037037035,0.3773649810801513,"[0.625, 0.3333333333333333, 0.2]","[0.5555555555555556, 0.3333333333333333, 0.2222222222222222]","[0.5882352941176471, 0.3333333333333333, 0.21052631578947367]","[9, 9, 9]","[0.7345679012345679, 0.5493827160493827, 0.25308641975308643]",0.5123456790123456,"[0.553874883286648, 0.36866579584845843, 0.3640305065305065]",0.42885706188853767,"[0.5067629402188225, 0.32558871001337464, 0.34102783488653055]",0.39112649503957586,"[[5, 2, 2], [0, 3, 6], [3, 4, 2]]",42
logistic,tuned,0.2962962962962963,0.32936507936507936,0.2962962962962963,0.3085901027077498,0.32936507936507936,0.2962962962962963,0.3085901027077497,"[0.5714285714285714, 0.25, 0.16666666666666666]","[0.4444444444444444, 0.2222222222222222, 0.2222222222222222]","[0.5, 0.23529411764705882, 0.19047619047619047]","[9, 9, 9]","[0.654320987654321, 0.5061728395061729, 0.20987654320987656]",0.45679012345679015,"[0.47484350056813823, 0.3651384444862706, 0.24292376239744662]",0.36096856915061853,"[0.42687887993727724, 0.32013271492171747, 0.21455735523622632]",0.3205229833650737,"[[4, 2, 3], [0, 2, 7], [3, 4, 2]]",42
svm,untuned,0.48148148148148145,0.46262626262626255,0.48148148148148157,0.4660818713450292,0.4626262626262626,0.48148148148148145,0.46608187134502926,"[0.6, 0.45454545454545453, 0.3333333333333333]","[0.6666666666666666, 0.5555555555555556, 0.2222222222222222]","[0.631578947368421, 0.5, 0.26666666666666666]","[9, 9, 9]","[0.8024691358024691, 0.5987654320987654, 0.4753086419753086]",0.625514403292181,"[0.6458393458393459, 0.42633727651843595, 0.35327475522488316]",0.47515045919422166,"[0.6169151835818503, 0.3838795939701737, 0.30104636287669]",0.43394704680957136,"[[6, 2, 1], [1, 5, 3], [3, 4, 2]]",42
svm,tuned,0.4074074074074074,0.34401709401709407,0.40740740740740744,0.3653000594177065,0.344017094017094,0.4074074074074074,0.3653000594177065,"[0.6153846153846154, 0.25, 0.16666666666666666]","[0.8888888888888888, 0.2222222222222222, 0.1111111111111111]","[0.7272727272727273, 0.23529411764705882, 0.13333333333333333]","[9, 9, 9]","[0.7839506172839507, 0.47530864197530864, 0.35185185185185186]",0.5370370370370371,"[0.7107559107559107, 0.41065126499909105, 0.28262250363699637]",0.46800989313066604,"[0.6924679024679026, 0.3868447306853104, 0.24966311094435112]",0.4429919146991881,"[[8, 1, 0], [2, 2, 5], [3, 5, 1]]",42
gnb,untuned,0.5185185185185185,0.5238095238095238,0.5185185185185185,0.5175438596491229,0.5238095238095238,0.5185185185185185,0.5175438596491228,"[0.7, 0.5714285714285714, 0.3]","[0.7777777777777778, 0.4444444444444444, 0.3333333333333333]","[0.7368421052631579, 0.5, 0.3157894736842105]","[9, 9, 9]","[0.7839506172839507, 0.6111111111111112, 0.4135802469135802]",0.602880658436214,"[0.6820533170533172, 0.4553447846048914, 0.4052979066022544]",0.5142320027534877,"[0.6621245421245421, 0.40738619701625034, 0.37959547063666055]",0.4830354032591509,"[[7, 0, 2], [0, 4, 5], [3, 3, 3]]",42
gnb,tuned,0.48148148148148145,0.48240740740740745,0.48148148148148157,0.4806788212360968,0.48240740740740734,0.48148148148148145,0.4806788212360968,"[0.6, 0.625, 0.2222222222222222]","[0.6666666666666666, 0.5555555555555556, 0.2222222222222222]","[0.631578947368421, 0.5882352941176471, 0.2222222222222222]","[9, 9, 9]","[0.7469135802469136, 0.6481481481481481, 0.36419753086419754]",0.5864197530864198,"[0.642325575658909, 0.4708431101909362, 0.38901974032408815]",0.5007294753913111,"[0.6219415152748486, 0.4227749424488555, 0.36445598049717043]",0.46972414607362484,"[[6, 0, 3], [0, 5, 4], [4, 3, 2]]",42
knn,untuned,0.4444444444444444,0.30952380952380953,0.4444444444444444,0.3643892339544513,0.30952380952380953,0.4444444444444444,0.36438923395445133,"[0.5, 0.42857142857142855, 0.0]","[0.6666666666666666, 0.6666666666666666, 0.0]","[0.5714285714285714, 0.5217391304347826, 0.0]","[9, 9, 9]","[0.7901234567901234, 0.5987654320987654, 0.47530864197530864]",0.6213991769547325,"[0.5572649572649573, 0.41329966329966333, 0.33939393939393936]",0.43665285331952,"[0.5884615384615385, 0.29924242424242425, 0.26010101010101006]",0.3826016576016576,"[[6, 3, 0], [2, 6, 1], [4, 5, 0]]",42
knn,tuned,0.37037037037037035,0.27705627705627706,0.3703703703703704,0.3159420289855072,0.277056277056277,0.37037037037037035,0.31594202898550716,"[0.5454545454545454, 0.2857142857142857, 0.0]","[0.6666666666666666, 0.4444444444444444, 0.0]","[0.6, 0.34782608695652173, 0.0]","[9, 9, 9]","[0.7746913580246914, 0.43209876543209874, 0.44753086419753085]",0.551440329218107,"[0.6398589065255733, 0.32011784511784513, 0.3082912457912458]",0.4227559991448881,"[0.6517636684303352, 0.28664600295035075, 0.28361337736337733]",0.4073410162480211,"[[6, 3, 0], [3, 4, 2], [2, 7, 0]]",42
random_forest,untuned,0.48148148148148145,0.4021164021164021,0.48148148148148145,0.4331723027375201,0.40211640211640215,0.48148148148148145,0.4331723027375201,"[0.7777777777777778, 0.42857142857142855, 0.0]","[0.7777777777777778, 0.6666666666666666, 0.0]","[0.7777777777777778, 0.5217391304347826, 0.0]","[9, 9, 9]","[0.8703703703703703, 0.691358024691358, 0.3148148148148148]",0.625514403292181,"[0.6873336540003208, 0.6569776292583309, 0.27580054406141363]",0.5400372757733551,"[0.6426086259419592, 0.6318098581462874, 0.24383463289260388]",0.5060843723269501,"[[7, 1, 1], [0, 6, 3], [2, 7, 0]]",42
random_forest,tuned,0.5555555555555556,0.537037037037037,0.5555555555555555,0.5386243386243387,0.5370370370370371,0.5555555555555556,0.5386243386243387,"[0.7777777777777778, 0.5, 0.3333333333333333]","[0.7777777777777778, 0.6666666666666666, 0.2222222222222222]","[0.7777777777777778, 0.5714285714285714, 0.26666666666666666]","[9, 9, 9]","[0.8271604938271604, 0.7098765432098766, 0.22839506172839508]",0.588477366255144,"[0.6945727112393778, 0.6165937800635157, 0.25072204231624523]",0.5206295112063796,"[0.6666345999679333, 0.5970384725233404, 0.21990023924997226]",0.494524437247082,"[[7, 1, 1], [0, 6, 3], [2, 5, 2]]",42
